name,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,access,public_access_hours_open,public_access_hours_close,public_access_days,data_as_of
Cayuga Clubhouse,restroom,0,0,0,0,37.71434069987213,-122.44983895970807,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Ingleside Branch,drinking_water,1,0,0,0,37.72405708700006,-122.45626482999997,limited_access,,,Daily,2024/10/10 10:24:00 AM
Beach Chalet,restroom,0,0,0,0,37.76959000789354,-122.51011435778472,limited_access,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Francisco Path Drinking Fountain,drinking_water,1,0,0,0,37.80361475,-122.42127042,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Washington Square Restrooms,restroom,0,0,0,0,37.801064242552535,-122.41063428491248,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Robin Williams Meadow Restroom,restroom,0,0,0,0,37.76820061034034,-122.45894632494796,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Beach Chalet Soccer South Path,drinking_water,1,0,0,0,37.76609576,-122.50844352,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Restrooms,restroom,0,0,0,0,37.79171974893089,-122.40509211818922,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Stanyan Kiosk,restroom,0,0,0,0,37.769905471421275,-122.45428183846612,limited_access,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Bernal Heights Path Drinking Fountain,drinking_water,1,1,0,0,37.7419817,-122.41632774,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
McLaren Bike Muni Restroom,restroom,0,0,0,0,37.71408971379147,-122.42331647505156,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
"Mid-Market Pit Stop - Market Street, between Hyde and 7th streets",restroom,0,0,0,0,37.7797652,-122.4136255,publicly_accessible,,,,2024/10/10 10:39:51 AM
Tenderloin Pit Stop - 701 Ellis St. (at Larkin),restroom,0,0,0,0,37.7842471,-122.4177342,publicly_accessible,,,,2024/10/10 10:39:51 AM
Mission Clubhouse,restroom,0,0,0,0,37.75940474502767,-122.42242458308024,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
India Basin Park,drinking_water,1,1,0,1,37.735292,-122.376172,publicly_accessible,,,Daily,2024/10/04 01:51:23 PM
Kezar Turf Drinking fountain,drinking_water,1,0,0,0,37.76616713,-122.45630314,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Pier 40,restroom,0,0,0,0,37.811076,-122.410559,publicly_accessible,07:00:00,22:00:00,Daily,2024/10/04 01:51:23 PM
Douglass Dog Play Area Drinking Fountain,drinking_water,1,0,0,0,37.746956389999994,-122.43891312,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Restroom,restroom,0,0,0,0,37.77677036001743,-122.406057796802,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Joe DiMaggio Clubhouse/Pool,restroom,0,0,0,0,37.8027666216579,-122.41217825887536,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Japanese Tea Garden Female Restroom,restroom,0,0,0,0,37.77048005336832,-122.46945822510776,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.7853789,-122.41809576,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Bike Park Bottle Filling station,drinking_water,1,1,0,0,37.71402182,-122.42315072,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Sunnyside Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.73385632,-122.44819922,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Garfield Children's Play Area Path,drinking_water,1,0,0,0,37.76460911,-122.40948568,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
3rd and Clement,drinking_water,0,1,0,0,37.783196,-122.461368,publicly_accessible,,,Daily,2024/06/27 01:43:12 PM
Guy Place Mini Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.78659459,-122.39431447,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Raymond Kimball Playground - Drinking Fountain/Cooler,drinking_water,1,1,0,0,37.78248803,-122.4355881,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Haight Pit Stop - Buena Vista Avenue East & Haight Street,restroom,0,0,0,0,37.7708518,-122.4403874,publicly_accessible,,,,2024/10/10 10:39:51 AM
Portsmouth Square Clubhouse,restroom,0,0,0,0,37.79502053126163,-122.40533899196149,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Betty Ann Ong Chinese Rec Center - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.794290800000006,-122.41169429,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Excelsior Branch Library,drinking_water,1,0,0,0,37.72713052100005,-122.43331540999998,limited_access,,,Daily,2024/10/10 10:24:00 AM
Restrooms,restroom,0,0,0,0,37.73620116438634,-122.4782232264926,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Gene Friend Rec Center,restroom,0,0,0,0,37.77878684551738,-122.40633918397188,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 05:16:30 PM
Harvey Milk Recreational Arts Bldg,restroom,0,0,0,0,37.769579237561544,-122.43457746937769,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 05:11:19 PM
Restroom,restroom,0,0,0,0,37.746283168602446,-122.43968177852058,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Martin Luther King Jr Pool,restroom,0,0,0,0,37.72539339194417,-122.39337823570943,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/20 06:25:03 PM
Restrooms,restroom,0,0,0,0,37.80129138272988,-122.41678430772168,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Angelo J. Rossi Playground - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.77799689,-122.45769443,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Kezar Pavilion,restroom,0,0,0,0,37.76745061878301,-122.45405121776848,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Miraloma Playground Clubhouse,restroom,0,0,0,0,37.739129517709415,-122.44952483192756,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Golden Gate Valley Branch Library,drinking_water,1,0,0,0,37.796788830000025,-122.429023471,limited_access,,,Daily,2024/10/10 10:24:00 AM
Sunnyside Playground Clubhouse,restroom,0,0,0,0,37.73377719959593,-122.44773858945292,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Cottage Row Mini Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.78641126,-122.43227246,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Sunset Branch Library,drinking_water,1,0,0,0,37.76334875500004,-122.47631075399994,limited_access,,,Daily,2024/10/10 10:24:00 AM
Mission Pit Stop - 3100 26th Street,restroom,0,0,0,0,37.749447,-122.4116183,publicly_accessible,,,,2024/10/10 10:39:51 AM
In Chan KaJaal Path Drinking fountain,drinking_water,1,0,0,0,37.7640845,-122.41599352,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Lower Great Highway Taraval Restrooms,restroom,0,0,0,0,37.741426624578615,-122.50707979596514,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/21 02:15:01 PM
Telegraph Hill - Pioneer Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.80227023,-122.4059445,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Mission Dolores South Restrooms,restroom,0,0,0,0,37.75856332910622,-122.42641901416428,publicly_accessible,08:00:00,20:00:00,Daily,2024/08/13 04:58:33 PM
Lafayette Park - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.79131419,-122.42861962,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
Upper Noe Rec Center - Drinking Fountain/Cooler,drinking_water,1,0,0,0,37.74272962,-122.42702129,publicly_accessible,08:00:00,20:00:00,Daily,2024/07/23 12:28:50 PM
